trust_code,trust_name,available_beds,occupied_beds,ae_attendances,ae_within_4h,emergency_admissions,rtt_total_waiting,rtt_over_18_weeks,provider_type_source,backlog_maintenance_cost,floor_area_m2,provider_group,provider_type_inference_source,is_acute_general,flag_specialist,flag_mental_health,flag_community,flag_ambulance,flag_non_acute,bed_occupancy_pressure,ae_delay_burden,emergency_admissions_intensity,waiting_list_burden,estates_burden,resource_capacity_strain,raw_components_available,primary_acute_eligible,rvpi_standardisation_sample,bed_occupancy_pressure_z,bed_occupancy_pressure_pct,ae_delay_burden_z,ae_delay_burden_pct,emergency_admissions_intensity_z,emergency_admissions_intensity_pct,waiting_list_burden_z,waiting_list_burden_pct,estates_burden_z,estates_burden_pct,resource_capacity_strain_z,resource_capacity_strain_pct,components_available,rvpi_z,rvpi_percentile,rvpi_rank,cluster
RA2,ROYAL SURREY COUNTY HOSPITAL NHS FOUNDATION TRUST,476.0,452.0,10349.0,7748.0,3508.0,60798.0,21592.0,ACUTE - MEDIUM,49785250.0,89667.0,acute_general,eric_trust_type,True,False,False,False,False,False,0.9495798319327731,0.2513286307855831,7.369747899159663,0.3551432612914899,555.2237724023331,21.741596638655462,6,True,full_provider_sensitivity,0.43803563686234637,71.14093959731544,0.26869196816344626,60.28368794326241,0.6185228492306785,84.61538461538461,0.36530939348745134,55.333333333333336,-0.0563274633861396,64.39024390243902,-0.09906654676636019,50.76923076923077,6,0.25586097293190374,66.92307692307692,44,1
RA7,UNIVERSITY HOSPITALS BRISTOL AND WESTON NHS FOUNDATION TRUST,1021.9777777777778,960.5222222222222,19464.0,12878.0,6643.0,99848.0,31934.0,ACUTE - TEACHING,120755625.0,223148.0,acute_general,eric_trust_type,True,False,False,False,False,False,0.939866054926178,0.3383682696259762,6.500141338146078,0.319826135726304,541.1458986860738,19.045423905716586,6,True,full_provider_sensitivity,0.35721258714222115,63.758389261744966,1.078736332678235,87.94326241134752,0.32845065452591415,76.15384615384615,0.04544224066017647,36.666666666666664,-0.08095832172558327,62.4390243902439,-0.14836194076877682,35.38461538461539,6,0.2634202587520311,70.0,40,1
RA9,TORBAY AND SOUTH DEVON NHS FOUNDATION TRUST,385.74444444444447,369.1777777777778,10748.0,7159.0,3460.0,66956.0,22506.0,ACUTE - MULTI-SERVICE,64112642.0,111757.0,acute_general,eric_trust_type,True,False,False,False,False,False,0.9570527407322061,0.33392259024934867,8.969669038223348,0.3361311906326543,573.6789820771853,27.863006596192065,6,True,full_provider_sensitivity,0.5002136422911795,72.48322147651007,1.0373621085493832,85.81560283687944,1.152204006858811,93.07692307692308,0.19311709828584436,42.66666666666667,-0.024037952605757376,65.85365853658537,0.012854070195803945,76.92307692307693,6,0.47861882892921076,90.0,14,1
RAE,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,616.8111111111111,582.0333333333333,13766.0,11417.0,4007.0,62892.0,21272.0,ACUTE - TEACHING,110311518.0,150328.0,acute_general,eric_trust_type,True,False,False,False,False,False,0.9436168104768252,0.17063780328345202,6.496316178192496,0.33823061756662215,733.8055319035709,22.31801559994956,6,True,full_provider_sensitivity,0.38842058194714363,67.11409395973155,-0.4822664567215001,23.404255319148938,0.32717470676680427,75.38461538461539,0.21213160485144006,45.33333333333333,0.25612185310427427,74.63414634146342,-0.0885276078251286,54.61538461538461,6,0.10217578035383891,45.38461538461539,72,1
RAJ,MID AND SOUTH ESSEX NHS FOUNDATION TRUST,1701.1333333333334,1684.2444444444443,36939.0,25137.0,10303.0,347954.0,171878.0,ACUTE - LARGE,64599825.0,320741.0,acute_general,eric_trust_type,True,False,False,False,False,False,0.9900719781583518,0.31949971574758385,6.056550534937492,0.4939675934175207,201.4080675685366,21.714347297879844,6,True,full_provider_sensitivity,0.7749487392984611,94.63087248322147,0.9031339756445307,82.26950354609929,0.18048332814375534,70.0,1.6226411595832273,99.33333333333333,-0.6753687106425679,21.951219512195124,-0.09956475927827743,50.0,6,0.4510456221248549,86.92307692307692,18,1
RAL,ROYAL FREE LONDON NHS FOUNDATION TRUST,1410.0444444444445,1390.6444444444444,44561.0,35941.0,7445.0,266780.0,93642.0,ACUTE - TEACHING,151661426.0,238904.0,acute_general,eric_trust_type,True,False,False,False,False,False,0.986241568429679,0.19344269652835444,5.2799754144865405,0.35100832146337807,634.8216270970767,31.602549959024145,6,True,full_provider_sensitivity,0.7430779854466091,93.28859060402685,-0.27003010668023936,27.659574468085108,-0.07855663273207479,48.46153846153846,0.3278592497182761,52.666666666666664,0.08293813329594214,68.78048780487805,0.08122590008928153,86.15384615384616,6,0.14775242152296578,56.15384615384615,58,1
RAN,ROYAL NATIONAL ORTHOPAEDIC HOSPITAL NHS TRUST,175.0222222222222,113.67777777777778,0.0,0.0,7.0,18316.0,5130.0,ACUTE - SPECIALIST,34315839.0,53476.0,specialist,eric_trust_type,False,True,False,False,False,True,0.6495048247841544,,0.03999492127983748,0.2800829875518672,641.7054192534969,0.0,5,False,full_provider_sensitivity,-2.0587251191312803,4.026845637583892,,,-1.8264420673854096,2.307692307692308,-0.3145113922447916,24.0,0.0949821189759055,69.26829268292683,-0.4965783825069063,3.076923076923077,5,-0.9202549684584966,3.8461538461538463,126,
RAP,NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST,,,,,,,,ACUTE - TEACHING,24053747.0,83303.0,acute_general,eric_trust_type,True,False,False,False,False,False,,,,,288.75006902512513,,1,False,full_provider_sensitivity,,,,,,,,,-0.5225538389992707,34.146341463414636,,,1,,,,
RAS,THE HILLINGDON HOSPITALS NHS FOUNDATION TRUST,397.7,372.6555555555556,12287.0,9928.0,1882.0,65986.0,23938.0,ACUTE - SMALL,146291959.0,82896.0,acute_general,eric_trust_type,True,False,False,False,False,False,0.937026792948342,0.19199153576951244,4.7322102087000255,0.36277392174097534,1764.7649946921445,30.895147095800855,6,True,full_provider_sensitivity,0.333588634085928,60.40268456375839,-0.28353550043377407,26.95035460992908,-0.2612731191856758,38.46153846153847,0.43442027363718355,61.33333333333333,2.059903943600372,95.60975609756098,0.06829212087142743,85.38461538461539,6,0.3918993920959102,81.53846153846153,25,1
RAT,NORTH EAST LONDON NHS FOUNDATION TRUST,159.96666666666667,145.4,1896.0,1841.0,0.0,,,MENTAL HEALTH AND LEARNING DISABILITY,4888362.0,120697.0,mental_health,eric_trust_type,False,False,True,False,False,True,0.9089393623671599,0.029008438818565407,0.0,,40.50110607554455,11.85246926443009,5,False,full_provider_sensitivity,0.09988841666975848,38.92617449664429,-1.8003563530383806,10.638297872340425,-1.8397830598673022,1.153846153846154,,,-0.9568939362728274,4.878048780487805,-0.27987411309804416,7.6923076923076925,5,-0.9554038091213591,3.076923076923077,127,
