trust_code,trust_name,available_beds,occupied_beds,ae_attendances,ae_within_4h,emergency_admissions,rtt_total_waiting,rtt_over_18_weeks,provider_type_source,backlog_maintenance_cost,floor_area_m2,provider_group,provider_type_inference_source,is_acute_general,flag_specialist,flag_mental_health,flag_community,flag_ambulance,flag_non_acute,bed_occupancy_pressure,ae_delay_burden,emergency_admissions_intensity,waiting_list_burden,estates_burden,resource_capacity_strain,raw_components_available,primary_acute_eligible,rvpi_standardisation_sample,bed_occupancy_pressure_z,bed_occupancy_pressure_pct,ae_delay_burden_z,ae_delay_burden_pct,emergency_admissions_intensity_z,emergency_admissions_intensity_pct,waiting_list_burden_z,waiting_list_burden_pct,estates_burden_z,estates_burden_pct,resource_capacity_strain_z,resource_capacity_strain_pct,components_available,rvpi_z,rvpi_percentile,rvpi_rank,cluster
RAJ,MID AND SOUTH ESSEX NHS FOUNDATION TRUST,1701.1333333333334,1684.2444444444443,36939.0,25137.0,10303.0,347954.0,171878.0,ACUTE - LARGE,64599825.0,320741.0,acute_general,eric_trust_type,True,False,False,False,False,False,0.9900719781583518,0.31949971574758385,6.056550534937492,0.4939675934175207,201.4080675685366,21.714347297879844,6,True,primary_acute_trusts,1.27246650837331,92.98245614035088,0.8146625032499569,78.0701754385965,0.21784885672624116,69.2982456140351,2.704986380120368,100.0,-0.8496132376777271,10.619469026548673,-0.18694723603273267,49.122807017543856,6,0.6622339624599026,96.49122807017544,5,3
RAL,ROYAL FREE LONDON NHS FOUNDATION TRUST,1410.0444444444445,1390.6444444444444,44561.0,35941.0,7445.0,266780.0,93642.0,ACUTE - TEACHING,151661426.0,238904.0,acute_general,eric_trust_type,True,False,False,False,False,False,0.986241568429679,0.19344269652835444,5.2799754144865405,0.35100832146337807,634.8216270970767,31.602549959024145,6,True,primary_acute_trusts,1.1903319540408757,91.22807017543859,-0.8558335503699649,14.035087719298245,-0.18264842868010014,46.49122807017544,0.11513693192807477,46.902654867256636,-0.17740630012747216,56.63716814159292,1.2977424309598509,89.47368421052632,6,0.23122050629187738,70.17543859649122,35,4
RAS,THE HILLINGDON HOSPITALS NHS FOUNDATION TRUST,397.7,372.6555555555556,12287.0,9928.0,1882.0,65986.0,23938.0,ACUTE - SMALL,146291959.0,82896.0,acute_general,eric_trust_type,True,False,False,False,False,False,0.937026792948342,0.19199153576951244,4.7322102087000255,0.36277392174097534,1764.7649946921445,30.895147095800855,6,True,primary_acute_trusts,0.13503136296518825,51.75438596491229,-0.8750641996097167,13.157894736842104,-0.4651432861385179,35.08771929824561,0.32828248709263,56.63716814159292,1.5750902566543101,93.80530973451327,1.191527605331768,88.59649122807018,6,0.3149540377159436,79.82456140350878,24,5
RAX,KINGSTON HOSPITAL NHS FOUNDATION TRUST,400.94444444444446,371.03333333333336,16099.0,12566.0,4103.0,87722.0,27996.0,ACUTE - MEDIUM,34603723.0,53284.0,acute_general,eric_trust_type,True,False,False,False,False,False,0.9253983649715949,0.2194546245108392,10.233337952057642,0.3191445703472333,649.4205202312139,40.15269502563392,6,True,primary_acute_trusts,-0.1143142206958778,39.473684210526315,-0.511125867204648,36.84210526315789,2.3719122283477856,96.49122807017544,-0.46210662224975374,25.663716814159294,-0.15476400611157476,58.4070796460177,2.58152599271526,98.24561403508771,6,0.6185212508001986,94.73684210526315,7,4
RBD,DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST,333.03333333333336,319.47777777777776,9089.0,7183.0,2510.0,42994.0,16034.0,ACUTE - SMALL,56526380.0,59330.0,acute_general,eric_trust_type,True,False,False,False,False,False,0.9592967003636605,0.2097040378479481,7.536783104794314,0.37293575847792715,952.7453227709422,27.291562406165546,6,True,primary_acute_trusts,0.6125596302128685,69.2982456140351,-0.640339747095867,28.947368421052634,0.9812381417878822,86.8421052631579,0.5123742700604167,68.14159292035397,0.31568051994354507,73.45132743362832,0.6504580969308276,78.0701754385965,6,0.40532848530661214,85.96491228070175,17,4
RBK,WALSALL HEALTHCARE NHS TRUST,478.4666666666666,443.27777777777777,14445.0,12522.0,5571.0,54608.0,14638.0,ACUTE - SMALL,32974079.0,96513.0,acute_general,eric_trust_type,True,False,False,False,False,False,0.9264548790116578,0.13312564901349944,11.64344433607357,0.2680559624963375,341.65427455368706,30.19019088755748,6,True,primary_acute_trusts,-0.09165964429979225,41.228070175438596,-1.6551495302626595,4.385964912280701,3.099135859468736,99.12280701754386,-1.3876275838701857,11.504424778761061,-0.6320970312095276,23.008849557522122,1.0856801390198179,86.8421052631579,6,0.06971370147439813,57.89473684210527,49,4
RBL,WIRRAL UNIVERSITY TEACHING HOSPITAL NHS FOUNDATION TRUST,785.0888888888888,724.3,11597.0,7131.0,4357.0,87332.0,30824.0,ACUTE - TEACHING,61128760.0,119584.0,acute_general,eric_trust_type,True,False,False,False,False,False,0.9225706926321152,0.3850995947227731,5.549690056327663,0.3529519534649384,511.1784185175274,14.771575759291235,6,True,primary_acute_trusts,-0.17494731841980954,37.719298245614034,1.6839860809827991,96.49122807017544,-0.04355051136723685,55.26315789473685,0.15034775944505172,49.557522123893804,-0.3691719261926927,43.36283185840708,-1.2293875577847793,7.894736842105263,6,0.002879421110555428,49.122807017543856,59,3
RBN,MERSEY AND WEST LANCASHIRE TEACHING HOSPITALS NHS TRUST,1198.7888888888888,1165.6777777777777,25674.0,19186.0,8706.0,155332.0,52342.0,ACUTE - TEACHING,31675117.0,213941.0,acute_general,eric_trust_type,True,False,False,False,False,False,0.9723795311935194,0.2527070187738568,7.2623295733657125,0.33696855767002293,148.05538442841717,21.41661491690688,6,True,primary_acute_trusts,0.8930916243683396,81.57894736842105,-0.07046818916468461,54.385964912280706,0.8396962723503054,83.33333333333334,-0.13920735799412423,37.16814159292036,-0.9323610958266993,7.964601769911504,-0.23165103152598798,47.368421052631575,6,0.059850037034524815,55.26315789473685,52,4
RBT,THE MID CHESHIRE HOSPITALS NHS FOUNDATION TRUST,532.1,497.8555555555556,10856.0,6902.0,3210.0,61170.0,22954.0,ACUTE - SMALL,111520345.0,99503.0,acute_general,eric_trust_type,True,False,False,False,False,False,0.9356428407358685,0.3642225497420781,6.032700620184175,0.3752493052149747,1120.7736952654693,20.40218004134561,6,True,primary_acute_trusts,0.10535560860971645,47.368421052631575,1.4073253962584966,92.98245614035088,0.2055489183631252,68.42105263157895,0.5542864710558976,70.79646017699115,0.5762857437832526,81.41592920353983,-0.3839659697605197,39.473684210526315,6,0.41080602805166144,86.8421052631579,16,3
RC9,BEDFORDSHIRE HOSPITALS NHS FOUNDATION TRUST,1075.8666666666666,1041.4666666666667,27101.0,21675.0,7835.0,168998.0,64090.0,ACUTE - MEDIUM,169889391.0,142941.0,acute_general,eric_trust_type,True,False,False,False,False,False,0.9680257776676169,0.20021401424301688,7.282500929483208,0.379235257221979,1188.5280710223099,25.18992440203247,6,True,primary_acute_trusts,0.7997351348924284,76.31578947368422,-0.7661006692483021,21.052631578947366,0.8500990951491231,84.21052631578947,0.6264959574694293,75.22123893805309,0.6813700459049445,84.070796460177,0.3349022436151955,69.2982456140351,6,0.4210836346304698,88.59649122807018,14,4
RCB,YORK AND SCARBOROUGH TEACHING HOSPITALS NHS FOUNDATION TRUST,838.8,831.1555555555556,19818.0,14066.0,7307.0,109930.0,47736.0,ACUTE - TEACHING,114524322.0,170448.0,acute_general,eric_trust_type,True,False,False,False,False,False,0.9908864515445346,0.29024119487334743,8.711254172627564,0.4342399708905667,671.9018234300197,23.626609442060087,6,True,primary_acute_trusts,1.2899310652558271,93.85964912280701,0.4269312689410927,68.42105263157895,1.5869393316255909,92.98245614035088,1.6229610722908188,96.46017699115043,-0.11989641223230928,61.94690265486725,0.10017429083501615,62.28070175438597,6,0.8178401027860062,99.12280701754386,2,4
RCD,HARROGATE AND DISTRICT NHS FOUNDATION TRUST,285.02222222222224,281.8111111111112,7127.0,5616.0,1457.0,41548.0,9872.0,ACUTE - SMALL,33363774.0,62392.0,acute_general,eric_trust_type,True,False,False,False,False,False,0.9887338219242167,0.21201066367335486,5.111882114455013,0.23760469818041782,534.7444223618413,25.005067830968343,6,True,primary_acute_trusts,1.2437727461642365,92.10526315789474,-0.6097725532784523,29.82456140350877,-0.2693379305515065,42.10526315789473,-1.9392825343139715,6.1946902654867255,-0.33262200539253217,46.902654867256636,0.3071464774421315,68.42105263157895,6,-0.2666826333216824,25.438596491228072,86,1
RCF,AIREDALE NHS FOUNDATION TRUST,380.2111111111111,359.14444444444445,6526.0,4466.0,1977.0,28404.0,7564.0,ACUTE - SMALL,318972898.0,71565.0,acute_general,eric_trust_type,True,False,False,False,False,False,0.9445921856278676,0.31566043518234754,5.199742832929075,0.26630052105337276,4457.1074966813385,17.16414857243052,6,True,primary_acute_trusts,0.2972542581900301,60.526315789473685,0.7637847094333905,76.31578947368422,-0.22402617858309548,44.73684210526316,-1.4194291521787767,10.619469026548673,5.750804809902781,100.0,-0.8701485479338023,18.421052631578945,6,0.7163733164717545,98.24561403508771,3,5
RCX,THE QUEEN ELIZABETH HOSPITAL KING'S LYNN NHS FOUNDATION TRUST,489.56666666666666,487.47777777777776,9086.0,6113.0,2319.0,50058.0,20792.0,ACUTE - SMALL,127781396.0,66794.0,acute_general,eric_trust_type,True,False,False,False,False,False,0.9957331880801615,0.32720669161347127,4.7368421052631575,0.41535818450597306,1913.0669820642572,18.55927010281201,6,True,primary_acute_trusts,1.3938584708126165,96.49122807017544,0.9167946403499033,80.7017543859649,-0.46275451272695134,35.96491228070175,1.2808987255777586,94.69026548672566,1.8051006533582463,95.57522123893806,-0.6606744310151086,28.07017543859649,6,0.7122039243927442,97.36842105263158,4,3
RD1,ROYAL UNITED HOSPITALS BATH NHS FOUNDATION TRUST,509.76666666666665,497.1555555555556,9444.0,5916.0,5318.0,78210.0,24146.0,ACUTE - MEDIUM,74931842.0,113242.0,acute_general,eric_trust_type,True,False,False,False,False,False,0.9752610126637461,0.37357052096569254,10.43222389328451,0.3087328986063163,661.6965613464969,18.526123062839208,6,True,primary_acute_trusts,0.954878538338048,84.21052631578947,1.5312038532862855,94.73684210526315,2.4744821890240836,98.24561403508771,-0.6507244148866854,20.353982300884958,-0.13572436182282246,61.06194690265486,-0.6656513787401379,27.192982456140353,6,0.584744070866462,92.98245614035088,9,3
