trust_code,trust_name,available_beds,occupied_beds
RJ7,ST GEORGE'S UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,826.0,813.6111111111111
RJ8,CORNWALL PARTNERSHIP NHS FOUNDATION TRUST,57.333333333333336,56.31111111111111
RJC,SOUTH WARWICKSHIRE NHS FOUNDATION TRUST,443.9333333333333,404.25555555555553
RJE,UNIVERSITY HOSPITALS OF NORTH MIDLANDS NHS TRUST,1354.5,1261.611111111111
RJL,NORTHERN LINCOLNSHIRE AND GOOLE NHS FOUNDATION TRUST,604.7,477.6222222222222
RJN,EAST CHESHIRE NHS TRUST,307.0,281.5444444444444
RJR,COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST,519.7111111111111,516.2777777777778
RJZ,KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST,1357.0,1232.0111111111112
RK5,SHERWOOD FOREST HOSPITALS NHS FOUNDATION TRUST,712.8333333333334,668.7444444444444
RK9,UNIVERSITY HOSPITALS PLYMOUTH NHS TRUST,1077.3444444444444,979.3777777777776
RKB,UNIVERSITY HOSPITALS COVENTRY AND WARWICKSHIRE NHS TRUST,1075.388888888889,1060.388888888889
RKE,WHITTINGTON HEALTH NHS TRUST,268.2111111111111,249.13333333333333
RKL,WEST LONDON MENTAL HEALTH NHS TRUST,69.41111111111111,53.91111111111111
RL1,THE ROBERT JONES AND AGNES HUNT ORTHOPAEDIC HOSPITAL NHS FOUNDATION TRUST,132.37777777777777,104.67777777777778
RL4,THE ROYAL WOLVERHAMPTON NHS TRUST,822.0777777777778,778.6
RLQ,WYE VALLEY NHS TRUST,298.24444444444447,283.43333333333334
RLT,GEORGE ELIOT HOSPITAL NHS TRUST,404.1111111111111,397.4666666666666
RLY,NORTH STAFFORDSHIRE COMBINED HEALTHCARE NHS TRUST,0.0,0.0
RM1,NORFOLK AND NORWICH UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,915.5888888888888,902.6
RM3,NORTHERN CARE ALLIANCE NHS FOUNDATION TRUST,1532.7444444444443,1430.4333333333334
RMC,BOLTON NHS FOUNDATION TRUST,597.7888888888889,528.4888888888889
RMP,TAMESIDE AND GLOSSOP INTEGRATED CARE NHS FOUNDATION TRUST,449.76666666666665,421.3888888888889
RMY,NORFOLK AND SUFFOLK NHS FOUNDATION TRUST,0.0,0.0
RN3,GREAT WESTERN HOSPITALS NHS FOUNDATION TRUST,584.8777777777777,564.5666666666667
RN5,HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST,858.9555555555555,775.6111111111111
RN7,DARTFORD AND GRAVESHAM NHS TRUST,556.1555555555556,523.4888888888889
RNA,THE DUDLEY GROUP NHS FOUNDATION TRUST,0.0,0.0
RNN,NORTH CUMBRIA INTEGRATED CARE NHS FOUNDATION TRUST,611.0333333333333,538.5777777777778
RNQ,KETTERING GENERAL HOSPITAL NHS FOUNDATION TRUST,526.5222222222222,512.7222222222222
RNS,NORTHAMPTON GENERAL HOSPITAL NHS TRUST,708.2444444444444,638.7555555555556
RNU,OXFORD HEALTH NHS FOUNDATION TRUST,109.37777777777778,2.022222222222222
RNZ,SALISBURY NHS FOUNDATION TRUST,448.3555555555556,419.9
RP1,NORTHAMPTONSHIRE HEALTHCARE NHS FOUNDATION TRUST,224.67777777777775,194.92222222222225
RP4,GREAT ORMOND STREET HOSPITAL FOR CHILDREN NHS FOUNDATION TRUST,216.85555555555555,174.3111111111111
RP5,DONCASTER AND BASSETLAW TEACHING HOSPITALS NHS FOUNDATION TRUST,754.7777777777778,722.8222222222222
RP6,MOORFIELDS EYE HOSPITAL NHS FOUNDATION TRUST,9.88888888888889,2.7222222222222223
RP7,LINCOLNSHIRE PARTNERSHIP NHS FOUNDATION TRUST,0.0,0.0
RPA,MEDWAY NHS FOUNDATION TRUST,595.7444444444444,521.9333333333333
RPC,QUEEN VICTORIA HOSPITAL NHS FOUNDATION TRUST,51.17777777777778,27.95555555555556
RPG,OXLEAS NHS FOUNDATION TRUST,0.0,0.0
RPY,THE ROYAL MARSDEN NHS FOUNDATION TRUST,214.2888888888889,189.2111111111111
RQ3,BIRMINGHAM WOMEN'S AND CHILDREN'S NHS FOUNDATION TRUST,0.0,0.0
RQM,CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST,786.1666666666666,785.4555555555555
RQW,THE PRINCESS ALEXANDRA HOSPITAL NHS TRUST,451.0,432.4
RQX,HOMERTON UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,279.3,247.7555555555556
RQY,SOUTH WEST LONDON AND ST GEORGE'S MENTAL HEALTH NHS TRUST,0.0,0.0
RR7,GATESHEAD HEALTH NHS FOUNDATION TRUST,449.74444444444447,435.7111111111111
RR8,LEEDS TEACHING HOSPITALS NHS TRUST,1788.611111111111,1721.7222222222222
RRE,MIDLANDS PARTNERSHIP NHS FOUNDATION TRUST,179.0,171.8
RRF,"WRIGHTINGTON, WIGAN AND LEIGH NHS FOUNDATION TRUST",422.56666666666666,349.9
RRJ,THE ROYAL ORTHOPAEDIC HOSPITAL NHS FOUNDATION TRUST,107.8,80.43333333333334
