trust_code,trust_name,rtt_total_waiting,rtt_over_18_weeks
J3X4C,SPAMEDICA WORCESTER,740,104.0
J7V1N,SPAMEDICA SOLIHULL,932,154.0
K3V9U,SPAMEDICA STEVENAGE COMMUNITY DIAGNOSTIC & TREATMENT CENTRE,10,0.0
K7J9E,ANGLIA COMMUNITY EYE SERVICE - NORWICH,30,2.0
K8I4X,GLENDON WOOD HOSPITAL,2682,638.0
K9J3O,SPAMEDICA LUTON,316,40.0
L0D9W,NEWMEDICA - GLOUCESTER (BRIGHOUSE COURT),2772,614.0
L4R3R,NEWMEDICA - HAMPSHIRE,4644,1780.0
L6O7H,SPAMEDICA POOLE,1996,104.0
L9D3Z,SPAMEDICA LEICESTER,680,20.0
M0N7E,SPAMEDICA SITTINGBOURNE,378,36.0
M2O7D,OPTEGRA EYE HOSPITAL COLCHESTER,678,148.0
M2Y6D,PRACTICE PLUS GROUP HOSPITAL BIRMINGHAM,2808,558.0
M3R0W,SPAMEDICA NORWICH,692,66.0
M4C5R,NEWMEDICA - NORTHAMPTON,2808,394.0
M5E1S,SPAMEDICA EXETER,656,76.0
M6L9D,NEWMEDICA - NOTTINGHAM - KEYWORTH,12,0.0
M7C9Q,SPAMEDICA EPSOM,672,22.0
M9U8M,ENDOCARE DIAGNOSTICS LTD,166,0.0
N1L8R,ACES MANCHESTER ST JOHNS STREET,26,4.0
N1M9Z,ACES EXETER,98,22.0
N1N0Y,SPAMEDICA CROYDON,314,14.0
N6Z0R,NEWMEDICA - LINCOLN,66,10.0
N8R1N,NEWMEDICA - BERKSHIRE,3030,1036.0
N8Z8E,ACES TORQUAY,6,2.0
NAM01,PROBUS SURGICAL CENTRE,1656,82.0
NCN,DMC HEALTHCARE,2454,86.0
NCR,ISIGHT,2822,400.0
NDJ,FIRST COMMUNITY HEALTH AND CARE CIC,1720,48.0
NDL01,SUFFOLK GP FEDERATION,132,2.0
NEQ,PHOENIX HEALTH SOLUTIONS LIMITED HQ,1178,42.0
NEY,PIONEER HEALTHCARE LIMITED,1430,1270.0
NFH,SOMERSET SURGICAL SERVICES HQ,3010,344.0
NHW,STANDARD HEALTH LTD,240,84.0
NID,THE LIVING CARE GROUP,464,0.0
NL3,CARE PLUS GROUP,370,60.0
NL8,LOCALA COMMUNITY PARTNERSHIPS CIC,2498,322.0
NLE01,LANCASTER HOUSE CONSULTING DIAGNOSTICS SURGICAL LTD HQ,2400,182.0
NLG,COMMUNITAS CLINICS,8938,2832.0
NLX,SIRONA CARE & HEALTH,11552,3182.0
NMG,CORA HEALTH MSK (FORMERLY CONNECT HEALTH LTD),36906,2974.0
NN4,TYNESIDE SURGICAL SERVICES LTD,2834,574.0
NN5,MANCHESTER SURGICAL SERVICES LTD,760,132.0
NN8,SPENCER PRIVATE HOSPITALS LTD,7162,2706.0
NNE,DORKING HEALTHCARE LIMITED (DHC),13038,3090.0
NNH02,OPTEGRA YORKSHIRE EYE HOSPITAL,1268,212.0
NNH03,OPTEGRA (SURREY EYE HOSPITAL),1718,0.0
NNH04,OPTEGRA (MANCHESTER EYE HOSPITAL),1628,20.0
NNH05,OPTEGRA (BIRMINGHAM EYE HOSPITAL),1364,56.0
NNH06,OPTEGRA (SOLENT EYE HOSPITAL),1294,0.0
NNH07,OPTEGRA LONDON EYE HOSPITAL,1748,76.0
NP9,BESPOKE HEALTHCARE LTD,846,270.0
NPG01,SPAMEDICA MANCHESTER,714,68.0
NPG02,SPAMEDICA WIRRAL,716,36.0
NPG06,SPAMEDICA LIVERPOOL,786,70.0
NPG07,SPAMEDICA EYE HOSPITAL (WAKEFIELD),1122,70.0
NPG08,SPAMEDICA BOLTON,1396,56.0
NPG10,SPAMEDICA SHEFFIELD,758,38.0
NPG11,SPAMEDICA BIRMINGHAM,1570,206.0
NPG13,SPAMEDICA SKELMERSDALE,172,18.0
NPG14,SPAMEDICA WIDNES,566,26.0
NPG15,SPAMEDICA NEWCASTLE-UNDER-LYME,630,14.0
NPG16,SPAMEDICA CHELMSFORD,1602,132.0
NPG17,SPAMEDICA PRESTON,598,40.0
NPG18,SPAMEDICA HULL,654,42.0
NPG19,SPAMEDICA BEDFORD,502,28.0
NPG20,SPAMEDICA WOLVERHAMPTON,1322,98.0
NPG21,SPAMEDICA COVENTRY,1014,82.0
NPG22,SPAMEDICA STOCKTON-ON-TEES,924,70.0
NPG23,SPAMEDICA DERBY,952,46.0
NPR01,ABOUT HEALTH HQ,3270,0.0
NQH,NOVUS HEALTH LTD,1530,66.0
NQM01,ORTHOPAEDICS & SPINE SPECIALIST HOSPITAL SITE,474,122.0
NQT5K,ST MARTINS HOSPITAL,298,46.0
NQX,PROVIDE ENTERPRISES,304,0.0
NR5,LIVEWELL SOUTHWEST,136,8.0
NRF,UNIVERSITY OF SOUTHAMPTON AUDITORY IMPLANT SERVICE,382,126.0
NRL,HEART NETWORKS,1986,54.0
NRP,BEACON MEDICAL SERVICES GROUP LIMITED,8866,424.0
NT202,"NUFFIELD HEALTH, BOURNEMOUTH HOSPITAL",1120,494.0
NT204,"NUFFIELD HEALTH, BRENTWOOD HOSPITAL",20,8.0
NT205,"NUFFIELD HEALTH, BRIGHTON HOSPITAL",1654,896.0
NT206,"NUFFIELD HEALTH, BRISTOL HOSPITAL (CHESTERFIELD)",1516,590.0
NT209,"NUFFIELD HEALTH, CAMBRIDGE HOSPITAL",414,200.0
NT210,"NUFFIELD HEALTH, THE GROSVENOR HOSPITAL, CHESTER",818,300.0
NT211,"NUFFIELD HEALTH, CHELTENHAM HOSPITAL",60,24.0
NT212,"NUFFIELD HEALTH, CHICHESTER HOSPITAL",854,194.0
NT213,"NUFFIELD HEALTH, DERBY HOSPITAL",2324,1062.0
NT214,"NUFFIELD HEALTH, WESSEX HOSPITAL",1220,876.0
NT215,"NUFFIELD HEALTH, EXETER HOSPITAL",832,444.0
NT216,"NUFFIELD HEALTH, GUILDFORD HOSPITAL",282,132.0
NT218,"NUFFIELD HEALTH, HAYWARDS HEATH HOSPITAL",864,396.0
NT219,"NUFFIELD HEALTH, HEREFORD HOSPITAL",976,286.0
NT224,"NUFFIELD HEALTH, WARWICKSHIRE HOSPITAL",798,182.0
NT226,"NUFFIELD HEALTH, LEICESTER HOSPITAL",930,186.0
NT229,"NUFFIELD HEALTH, NEWCASTLE UPON TYNE HOSPITAL",1036,596.0
NT230,"NUFFIELD HEALTH, NORTH STAFFORDSHIRE HOSPITAL",2656,1364.0
NT233,"NUFFIELD HEALTH, PLYMOUTH HOSPITAL",1774,656.0
NT235,"NUFFIELD HEALTH, SHREWSBURY HOSPITAL",924,154.0
NT237,"NUFFIELD HEALTH, TEES HOSPITAL",3284,982.0
NT238,"NUFFIELD HEALTH, TAUNTON HOSPITAL",934,372.0
NT239,"NUFFIELD HEALTH, TUNBRIDGE WELLS HOSPITAL",144,52.0
NT241,"NUFFIELD HEALTH, WOKING HOSPITAL",656,132.0
NT242,"NUFFIELD HEALTH, WOLVERHAMPTON HOSPITAL",1212,290.0
NT244,NUFFIELD HOSPITAL OXFORD (THE MANOR),184,30.0
NT245,"NUFFIELD HEALTH, YORK HOSPITAL",2292,652.0
NT301,SPIRE SOUTH BANK HOSPITAL,1684,398.0
NT302,SPIRE BRISTOL HOSPITAL,1510,688.0
NT304,SPIRE SOUTHAMPTON HOSPITAL,704,536.0
NT305,SPIRE PORTSMOUTH HOSPITAL,920,516.0
NT308,SPIRE GATWICK PARK HOSPITAL,2548,620.0
NT30A,SPIRE NOTTINGHAM HOSPITAL,1390,270.0
NT312,SPIRE ALEXANDRA HOSPITAL,2214,482.0
NT313,SPIRE WELLESLEY HOSPITAL,2340,904.0
NT314,SPIRE LONDON EAST,6592,2610.0
NT315,SPIRE BUSHEY HOSPITAL,2498,276.0
NT316,SPIRE HARPENDEN HOSPITAL,1814,280.0
NT317,SPIRE CAMBRIDGE LEA HOSPITAL,632,270.0
NT318,SPIRE NORWICH HOSPITAL,1914,414.0
NT319,SPIRE HARTSWOOD HOSPITAL,2350,642.0
NT320,SPIRE PARKWAY HOSPITAL,2952,930.0
NT321,SPIRE LITTLE ASTON HOSPITAL,2678,784.0
NT322,SPIRE LEICESTER HOSPITAL,2480,1008.0
NT324,SPIRE CHESHIRE HOSPITAL,2222,368.0
NT325,SPIRE MURRAYFIELD HOSPITAL,1658,454.0
NT327,SPIRE MANCHESTER HOSPITAL,1788,792.0
NT332,SPIRE LEEDS HOSPITAL,1574,290.0
NT333,SPIRE WASHINGTON HOSPITAL,3284,786.0
NT337,SPIRE LIVERPOOL HOSPITAL,5156,1472.0
NT339,SPIRE REGENCY HOSPITAL,4114,208.0
NT343,SPIRE THAMES VALLEY HOSPITAL,986,528.0
NT344,SPIRE DUNEDIN HOSPITAL,606,114.0
NT345,SPIRE CLARE PARK HOSPITAL,908,454.0
NT347,SPIRE FYLDE COAST HOSPITAL,6694,1118.0
NT348,SPIRE ELLAND HOSPITAL,2564,676.0
NT350,SPIRE METHLEY PARK HOSPITAL,1834,328.0
NT351,SPIRE HULL AND EAST RIDING HOSPITAL,5050,2026.0
NT364,SPIRE MONTEFIORE HOSPITAL,1220,576.0
NT3X3,SPIRE ST ANTHONY'S HOSPITAL,2128,166.0
NT401,ALEXANDRA HOSPITAL,1556,670.0
NT402,BATH CLINIC,1496,518.0
NT403,BEARDWOOD HOSPITAL,4724,1246.0
NT404,BEAUMONT HOSPITAL,6230,2176.0
NT405,BISHOPS WOOD HOSPITAL,1042,196.0
NT406,BLACKHEATH HOSPITAL,3020,944.0
NT408,CHAUCER HOSPITAL,1842,426.0
NT409,CHELSFIELD PARK HOSPITAL,1536,258.0
NT410,CHILTERN HOSPITAL,842,162.0
NT411,CLEMENTINE CHURCHILL HOSPITAL,4010,16.0
NT412,DROITWICH SPA HOSPITAL,3126,932.0
NT416,HENDON HOSPITAL,2256,786.0
NT417,GORING HALL HOSPITAL,1568,644.0
NT418,HAMPSHIRE CLINIC,638,330.0
NT419,HARBOUR HOSPITAL,388,120.0
NT420,HIGHFIELD HOSPITAL,1864,576.0
NT421,KINGS OAK HOSPITAL,2250,652.0
NT422,LONDON INDEPENDENT HOSPITAL,7470,1524.0
NT423,MANOR HOSPITAL,1320,686.0
NT424,MERIDEN HOSPITAL,3668,648.0
NT427,PARK HOSPITAL,3946,1272.0
NT428,PRINCESS MARGARET HOSPITAL,142,10.0
NT429,PRIORY HOSPITAL,1338,396.0
NT430,RIDGEWAY HOSPITAL,896,254.0
NT431,RUNNYMEDE HOSPITAL,364,66.0
NT433,SARUM ROAD HOSPITAL,686,310.0
NT434,SAXON CLINIC,1376,608.0
NT435,SHELBURNE HOSPITAL,360,104.0
NT436,SHIRLEY OAKS HOSPITAL,1936,504.0
NT437,SLOANE HOSPITAL,1726,456.0
NT440,THORNBURY HOSPITAL,1424,408.0
NT441,THREE SHIRES HOSPITAL,7262,2882.0
NT443,WINTERBOURNE HOSPITAL,804,196.0
NT445,EDGBASTON HOSPITAL,2,0.0
NT446,ST EDMUNDS HOSPITAL,1090,560.0
NT447,DUCHY HOSPITAL,578,106.0
NT448,HUDDERSFIELD PRIVATE HOSPITAL,1948,158.0
NT449,LANCASTER PRIVATE HOSPITAL,664,162.0
NT450,LINCOLN PRIVATE HOSPITAL,2252,924.0
NT451,CAVELL HOSPITAL,2696,728.0
NT455,MOUNT ALVERNIA HOSPITAL,446,136.0
