trust_code,trust_name,rtt_total_waiting,rtt_over_18_weeks
RJ2,LEWISHAM AND GREENWICH NHS TRUST,110634,38836.0
RJ6,CROYDON HEALTH SERVICES NHS TRUST,64682,18744.0
RJ7,ST GEORGE'S UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,133994,49070.0
RJ8,CORNWALL PARTNERSHIP NHS FOUNDATION TRUST,1298,28.0
RJC,SOUTH WARWICKSHIRE UNIVERSITY NHS FOUNDATION TRUST,59410,18494.0
RJE,UNIVERSITY HOSPITALS OF NORTH MIDLANDS NHS TRUST,130802,46136.0
RJL,NORTHERN LINCOLNSHIRE AND GOOLE NHS FOUNDATION TRUST,79032,30374.0
RJN,EAST CHESHIRE NHS TRUST,32538,12992.0
RJR,COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST,61206,21906.0
RJZ,KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST,167836,56416.0
RK5,SHERWOOD FOREST HOSPITALS NHS FOUNDATION TRUST,66272,24102.0
RK9,UNIVERSITY HOSPITALS PLYMOUTH NHS TRUST,91414,31460.0
RKB,UNIVERSITY HOSPITALS COVENTRY AND WARWICKSHIRE NHS TRUST,142098,57950.0
RKE,WHITTINGTON HEALTH NHS TRUST,43640,12476.0
RL1,THE ROBERT JONES AND AGNES HUNT ORTHOPAEDIC HOSPITAL NHS FOUNDATION TRUST,47866,22800.0
RL4,THE ROYAL WOLVERHAMPTON NHS TRUST,144886,57064.0
RLQ,WYE VALLEY NHS TRUST,52062,18084.0
RLT,GEORGE ELIOT HOSPITAL NHS TRUST,38236,12696.0
RM1,NORFOLK AND NORWICH UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,134254,48770.0
RM3,NORTHERN CARE ALLIANCE NHS FOUNDATION TRUST,258442,105884.0
RMC,BOLTON NHS FOUNDATION TRUST,75698,28670.0
RMP,TAMESIDE AND GLOSSOP INTEGRATED CARE NHS FOUNDATION TRUST,32802,7730.0
RN3,GREAT WESTERN HOSPITALS NHS FOUNDATION TRUST,85340,36088.0
RN5,HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST,97036,34478.0
RN7,DARTFORD AND GRAVESHAM NHS TRUST,59142,22880.0
RNA,THE DUDLEY GROUP NHS FOUNDATION TRUST,91326,32858.0
RNN,NORTH CUMBRIA INTEGRATED CARE NHS FOUNDATION TRUST,70604,25224.0
RNQ,KETTERING GENERAL HOSPITAL NHS FOUNDATION TRUST,47344,16914.0
RNS,NORTHAMPTON GENERAL HOSPITAL NHS TRUST,79548,30928.0
RNZ,SALISBURY NHS FOUNDATION TRUST,60718,17216.0
RP4,GREAT ORMOND STREET HOSPITAL FOR CHILDREN NHS FOUNDATION TRUST,17094,4450.0
RP5,DONCASTER AND BASSETLAW TEACHING HOSPITALS NHS FOUNDATION TRUST,104474,39858.0
RP6,MOORFIELDS EYE HOSPITAL NHS FOUNDATION TRUST,75538,10726.0
RP7,LINCOLNSHIRE PARTNERSHIP NHS FOUNDATION TRUST,14,0.0
RPA,MEDWAY NHS FOUNDATION TRUST,68196,25894.0
RPC,QUEEN VICTORIA HOSPITAL NHS FOUNDATION TRUST,41682,15902.0
RPG,OXLEAS NHS FOUNDATION TRUST,4158,1840.0
RPY,THE ROYAL MARSDEN NHS FOUNDATION TRUST,3924,208.0
RQ3,BIRMINGHAM WOMEN'S AND CHILDREN'S NHS FOUNDATION TRUST,43682,16556.0
RQM,CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST,151290,51444.0
RQW,THE PRINCESS ALEXANDRA HOSPITAL NHS TRUST,79524,28538.0
RQX,HOMERTON HEALTHCARE NHS FOUNDATION TRUST,52564,12322.0
RR7,GATESHEAD HEALTH NHS FOUNDATION TRUST,23144,5204.0
RR8,LEEDS TEACHING HOSPITALS NHS TRUST,170248,55796.0
RRE,MIDLANDS PARTNERSHIP UNIVERSITY NHS FOUNDATION TRUST,17906,1286.0
RRF,"WRIGHTINGTON, WIGAN AND LEIGH TEACHING HOSPITALS NHS FOUNDATION TRUST",88748,34428.0
RRJ,THE ROYAL ORTHOPAEDIC HOSPITAL NHS FOUNDATION TRUST,25182,8670.0
RRK,UNIVERSITY HOSPITALS BIRMINGHAM NHS FOUNDATION TRUST,179088,56230.0
RRV,UNIVERSITY COLLEGE LONDON HOSPITALS NHS FOUNDATION TRUST,149336,54882.0
RT1,CAMBRIDGESHIRE AND PETERBOROUGH NHS FOUNDATION TRUST,392,246.0
RTD,THE NEWCASTLE UPON TYNE HOSPITALS NHS FOUNDATION TRUST,162602,44680.0
RTE,GLOUCESTERSHIRE HOSPITALS NHS FOUNDATION TRUST,135224,34488.0
RTF,NORTHUMBRIA HEALTHCARE NHS FOUNDATION TRUST,74430,12838.0
RTG,UNIVERSITY HOSPITALS OF DERBY AND BURTON NHS FOUNDATION TRUST,186544,71166.0
RTH,OXFORD UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,176426,65270.0
RTK,ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST,101864,38806.0
RTP,SURREY AND SUSSEX HEALTHCARE NHS TRUST,94538,31166.0
RTR,SOUTH TEES HOSPITALS NHS FOUNDATION TRUST,108528,37758.0
RTX,UNIVERSITY HOSPITALS OF MORECAMBE BAY NHS FOUNDATION TRUST,67882,19326.0
RVJ,NORTH BRISTOL NHS TRUST,78974,23136.0
RVR,EPSOM AND ST HELIER UNIVERSITY HOSPITALS NHS TRUST,116458,38988.0
RVV,EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST,158432,68948.0
RVW,NORTH TEES AND HARTLEPOOL NHS FOUNDATION TRUST,43068,12644.0
RW1,HAMPSHIRE AND ISLE OF WIGHT HEALTHCARE NHS FOUNDATION TRUST,8728,826.0
RW4,MERSEY CARE NHS FOUNDATION TRUST,106,0.0
RW5,LANCASHIRE & SOUTH CUMBRIA NHS FOUNDATION TRUST,8066,466.0
RWA,HULL UNIVERSITY TEACHING HOSPITALS NHS TRUST,161998,70776.0
RWD,UNITED LINCOLNSHIRE TEACHING HOSPITALS NHS TRUST,135506,53082.0
RWE,UNIVERSITY HOSPITALS OF LEICESTER NHS TRUST,227946,93252.0
RWF,MAIDSTONE AND TUNBRIDGE WELLS NHS TRUST,92362,22112.0
RWG,WEST HERTFORDSHIRE TEACHING HOSPITALS NHS TRUST,90788,29054.0
RWH,EAST AND NORTH HERTFORDSHIRE TEACHING NHS TRUST,108664,33538.0
RWJ,STOCKPORT NHS FOUNDATION TRUST,67992,25738.0
RWP,WORCESTERSHIRE ACUTE HOSPITALS NHS TRUST,111204,41588.0
RWW,WARRINGTON AND HALTON TEACHING HOSPITALS NHS FOUNDATION TRUST,66264,23012.0
RWX,BERKSHIRE HEALTHCARE NHS FOUNDATION TRUST,200,0.0
RWY,CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST,72614,17446.0
RX1,NOTTINGHAM UNIVERSITY HOSPITALS NHS TRUST,166374,60754.0
RX4,"CUMBRIA, NORTHUMBERLAND, TYNE AND WEAR NHS FOUNDATION TRUST",306,4.0
RXC,EAST SUSSEX HEALTHCARE NHS TRUST,114934,38702.0
RXF,MID YORKSHIRE TEACHING NHS TRUST,107816,35718.0
RXG,SOUTH WEST YORKSHIRE PARTNERSHIP NHS FOUNDATION TRUST,8632,308.0
RXK,SANDWELL AND WEST BIRMINGHAM HOSPITALS NHS TRUST,131514,48656.0
RXL,BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST,80568,30982.0
RXN,LANCASHIRE TEACHING HOSPITALS NHS FOUNDATION TRUST,130334,52884.0
RXP,COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST,86054,28592.0
RXQ,BUCKINGHAMSHIRE HEALTHCARE NHS TRUST,91792,31596.0
RXR,EAST LANCASHIRE HOSPITALS NHS TRUST,95446,28644.0
RXW,THE SHREWSBURY AND TELFORD HOSPITAL NHS TRUST,68550,21318.0
RYJ,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,167888,51866.0
RYR,UNIVERSITY HOSPITALS SUSSEX NHS FOUNDATION TRUST,225070,101052.0
RYW,BIRMINGHAM COMMUNITY HEALTHCARE NHS FOUNDATION TRUST,29838,6808.0
RYY,KENT COMMUNITY HEALTH NHS FOUNDATION TRUST,8782,8.0
S0L9O,ACES BIRMINGHAM,34,10.0
S1Z4X,NEWMEDICA - BIRMINGHAM,1898,130.0
S3H9L,THE HAMPTONS HOSPITAL LTD,1828,974.0
S4E3I,MIDLAND EYE (EYE-DOCS LTD),1286,80.0
S5E5Y,HCRG CARE DERMATOLOGY THE IRONSTONE CENTRE,2418,200.0
S8O6A,ACES MANCHESTER TRAFFORD,6,4.0
T1I9W,ACES LINCOLN,20,0.0
T1T4S,ACES BRISTOL,142,26.0
T4I8V,SPAMEDICA CHESTERFIELD,356,10.0
T8R5I,SPAMEDICA WOKINGHAM,472,46.0
T8V3L,SPAMEDICA DONCASTER,506,22.0
TAD,BRADFORD DISTRICT CARE NHS FOUNDATION TRUST,1082,438.0
U0K8N,CES MEDICAL,138,12.0
U1P4Z,ACES MILTON KEYNES,286,44.0
U6A5N,ACES CHISWICK,24,8.0
V3J9W,PASTEL HEALTH,78,0.0
V4U1Y,SPAMEDICA CHESTER,412,30.0
V5F1D,SPAMEDICA TELFORD,768,92.0
V8A3H,SPAMEDICA SHEFFIELD COMMUNITY DIAGNOSTIC & TREATMENT CENTRE,22,0.0
V8N5R,SPAMEDICA DALSTON,794,82.0
W7J4C,ACES MANCHESTER,210,74.0
X0R3Y,ACES LEEDS KING STREET,56,16.0
X1M4L,ACES MAIDSTONE,10,2.0
X7M7U,ACES LAKESIDE,18,0.0
X7Y2H,ACES WILMSLOW,10,2.0
Y7W8F,ACES SOUTHAMPTON - EAST ST,20,0.0
Y8L9S,SPAMEDICA BROMLEY,1190,110.0
Y9S1N,FAIRFIELD INDEPENDENT HOSPITAL,3250,1118.0
Z1E5F,NEWMEDICA - HARROGATE,486,82.0
Z2L9B,NEWMEDICA - MANCHESTER WEST,688,142.0
Z4F8Y,ACES DARTFORD,734,82.0
Z5J5V,SPAMEDICA HAYDOCK,592,50.0
Z9Z1G,SPAMEDICA GATESHEAD,1018,52.0
