trust_code,trust_name,provider_type_source,backlog_maintenance_cost,floor_area_m2
RGN,NORTH WEST ANGLIA NHS FOUNDATION TRUST,ACUTE - LARGE,70368955.0,161862.0
RGP,JAMES PAGET UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,ACUTE - TEACHING,118998935.0,62440.0
RGR,WEST SUFFOLK NHS FOUNDATION TRUST,ACUTE - SMALL,111299238.0,64494.0
RGT,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,ACUTE - TEACHING,238059284.0,243929.0
RH5,SOMERSET NHS FOUNDATION TRUST,ACUTE - MULTI-SERVICE,184634661.0,204563.0
RH8,ROYAL DEVON UNIVERSITY HEALTHCARE NHS FOUNDATION TRUST,ACUTE - LARGE,168157279.0,240867.0
RHA,NOTTINGHAMSHIRE HEALTHCARE NHS FOUNDATION TRUST,MENTAL HEALTH AND LEARNING DISABILITY,42812030.0,186128.0
RHM,UNIVERSITY HOSPITAL SOUTHAMPTON NHS FOUNDATION TRUST,ACUTE - TEACHING,164863046.0,192190.0
RHQ,SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST,ACUTE - TEACHING,179920788.0,328495.0
RHU,PORTSMOUTH HOSPITALS UNIVERSITY NHS TRUST,ACUTE - LARGE,8384928.0,166884.0
RHW,ROYAL BERKSHIRE NHS FOUNDATION TRUST,ACUTE - LARGE,161072820.0,115858.0
RJ1,GUY'S AND ST THOMAS' NHS FOUNDATION TRUST,ACUTE - TEACHING,531861351.0,471597.0
RJ2,THE LEWISHAM AND GREENWICH NHS TRUST,ACUTE - LARGE,65763529.0,152269.0
RJ6,CROYDON HEALTH SERVICES NHS TRUST,ACUTE - MEDIUM,184128797.0,89054.0
RJ7,ST GEORGE'S UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,ACUTE - TEACHING,105855000.0,142464.0
RJ8,CORNWALL PARTNERSHIP NHS FOUNDATION TRUST,MENTAL HEALTH AND LEARNING DISABILITY,4955934.0,61342.0
RJC,SOUTH WARWICKSHIRE UNIVERSITY NHS FOUNDATION TRUST,ACUTE - TEACHING,56389944.0,86200.0
RJE,UNIVERSITY HOSPITALS OF NORTH MIDLANDS NHS TRUST,ACUTE - TEACHING,51217602.0,214872.0
RJL,NORTHERN LINCOLNSHIRE AND GOOLE NHS FOUNDATION TRUST,ACUTE - MEDIUM,66225536.0,166976.0
RJN,EAST CHESHIRE NHS TRUST,ACUTE - SMALL,16982682.0,48841.0
RJR,COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST,ACUTE - SMALL,51887323.0,73724.0
RJZ,KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST,ACUTE - TEACHING,71285531.0,272955.0
RK5,SHERWOOD FOREST HOSPITALS NHS FOUNDATION TRUST,ACUTE - MEDIUM,,134140.0
RK9,UNIVERSITY HOSPITALS PLYMOUTH NHS TRUST,ACUTE - TEACHING,84025667.0,180454.0
RKB,UNIVERSITY HOSPITALS COVENTRY AND WARWICKSHIRE NHS TRUST,ACUTE - TEACHING,24777000.0,174807.0
RKE,WHITTINGTON HEALTH NHS TRUST,ACUTE - MULTI-SERVICE,184621795.0,84800.0
RKL,WEST LONDON NHS TRUST,MENTAL HEALTH AND LEARNING DISABILITY,45557022.0,125754.0
RL1,ROBERT JONES AND AGNES HUNT ORTHOPAEDIC HOSPITAL NHS FOUNDATION TRUST,ACUTE - SPECIALIST,15460671.0,37987.0
RL4,THE ROYAL WOLVERHAMPTON NHS TRUST,ACUTE - LARGE,65422316.0,191871.0
RLQ,WYE VALLEY NHS TRUST,ACUTE - MULTI-SERVICE,5080077.0,66641.0
RLT,GEORGE ELIOT HOSPITAL NHS TRUST,ACUTE - SMALL,17508316.0,60232.0
RLY,NORTH STAFFORDSHIRE COMBINED HEALTHCARE NHS TRUST,MENTAL HEALTH AND LEARNING DISABILITY,3821493.0,23187.0
RM1,NORFOLK AND NORWICH UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,ACUTE - TEACHING,5050624.0,138235.0
RM3,NORTHERN CARE ALLIANCE NHS FOUNDATION TRUST,ACUTE - TEACHING,120761671.0,303182.0
RMC,BOLTON NHS FOUNDATION TRUST,ACUTE - MEDIUM,129030817.0,92088.0
RMP,TAMESIDE AND GLOSSOP INTEGRATED CARE NHS FOUNDATION TRUST,ACUTE - SMALL,60615902.0,99736.0
RMY,NORFOLK AND SUFFOLK NHS FOUNDATION TRUST,MENTAL HEALTH AND LEARNING DISABILITY,27095568.0,82576.0
RN3,GREAT WESTERN HOSPITALS NHS FOUNDATION TRUST,ACUTE - MEDIUM,8182213.0,75763.0
RN5,HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST,ACUTE - LARGE,111459810.0,136141.0
RN7,DARTFORD AND GRAVESHAM NHS TRUST,ACUTE - SMALL,0.0,76026.0
RNA,THE DUDLEY GROUP NHS FOUNDATION TRUST,ACUTE - MEDIUM,0.0,94350.0
RNK,TAVISTOCK AND PORTMAN NHS FOUNDATION TRUST,MENTAL HEALTH AND LEARNING DISABILITY,9707658.0,9434.0
RNN,NORTH CUMBRIA INTEGRATED CARE NHS FOUNDATION TRUST,ACUTE - MEDIUM,16258887.0,144796.0
RNQ,KETTERING GENERAL HOSPITAL NHS FOUNDATION TRUST,ACUTE - SMALL,53839504.0,83729.0
RNS,NORTHAMPTON GENERAL HOSPITAL NHS TRUST,ACUTE - MEDIUM,41393653.0,111131.0
RNU,OXFORD HEALTH NHS FOUNDATION TRUST,MENTAL HEALTH AND LEARNING DISABILITY,14661361.0,80047.0
RNZ,SALISBURY NHS FOUNDATION TRUST,ACUTE - SMALL,81960949.0,92810.0
RP1,NORTHAMPTONSHIRE HEALTHCARE NHS FOUNDATION TRUST,MENTAL HEALTH AND LEARNING DISABILITY,2508037.0,77724.0
RP4,GREAT ORMOND STREET HOSPITAL FOR CHILDREN NHS FOUNDATION TRUST,ACUTE - SPECIALIST,13888676.0,105003.0
RP5,DONCASTER AND BASSETLAW TEACHING HOSPITALS NHS FOUNDATION TRUST,ACUTE - TEACHING,151328533.0,151398.0
RP6,MOORFIELDS EYE HOSPITAL NHS FOUNDATION TRUST,ACUTE - SPECIALIST,5902474.0,49125.0
RP7,LINCOLNSHIRE PARTNERSHIP NHS FOUNDATION TRUST,MENTAL HEALTH AND LEARNING DISABILITY,5975824.0,42990.0
RPA,MEDWAY NHS FOUNDATION TRUST,ACUTE - MEDIUM,107759760.0,102547.0
RPC,QUEEN VICTORIA HOSPITAL NHS FOUNDATION TRUST,ACUTE - SPECIALIST,21296300.0,27007.0
RPG,OXLEAS NHS FOUNDATION TRUST,MENTAL HEALTH AND LEARNING DISABILITY,34081039.0,69686.0
RPY,THE ROYAL MARSDEN NHS FOUNDATION TRUST,ACUTE - SPECIALIST,42705812.0,92452.0
RQ3,BIRMINGHAM WOMEN'S AND CHILDREN'S NHS FOUNDATION TRUST,ACUTE - SPECIALIST,72198755.0,91435.0
RQM,CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST,ACUTE - TEACHING,22691320.0,139289.0
RQW,THE PRINCESS ALEXANDRA HOSPITAL NHS TRUST,ACUTE - SMALL,64961843.0,61677.0
RQX,HOMERTON HEALTHCARE NHS FOUNDATION TRUST,ACUTE - TEACHING,131983340.0,69412.0
RQY,SOUTH WEST LONDON AND ST GEORGE'S MENTAL HEALTH NHS TRUST,MENTAL HEALTH AND LEARNING DISABILITY,11346432.0,72186.0
