trust_code,trust_name
RMY,NORFOLK AND SUFFOLK NHS FOUNDATION TRUST
RN3,GREAT WESTERN HOSPITALS NHS FOUNDATION TRUST
RN5,HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST
RN7,DARTFORD AND GRAVESHAM NHS TRUST
RNA,THE DUDLEY GROUP NHS FOUNDATION TRUST
RNK,TAVISTOCK AND PORTMAN NHS FOUNDATION TRUST
RNN,NORTH CUMBRIA INTEGRATED CARE NHS FOUNDATION TRUST
RNQ,KETTERING GENERAL HOSPITAL NHS FOUNDATION TRUST
RNS,NORTHAMPTON GENERAL HOSPITAL NHS TRUST
RNU,OXFORD HEALTH NHS FOUNDATION TRUST
RNZ,SALISBURY NHS FOUNDATION TRUST
RP1,NORTHAMPTONSHIRE HEALTHCARE NHS FOUNDATION TRUST
RP4,GREAT ORMOND STREET HOSPITAL FOR CHILDREN NHS FOUNDATION TRUST
RP5,DONCASTER AND BASSETLAW TEACHING HOSPITALS NHS FOUNDATION TRUST
RP6,MOORFIELDS EYE HOSPITAL NHS FOUNDATION TRUST
RP7,LINCOLNSHIRE PARTNERSHIP NHS FOUNDATION TRUST
RPA,MEDWAY NHS FOUNDATION TRUST
RPC,QUEEN VICTORIA HOSPITAL NHS FOUNDATION TRUST
RPG,OXLEAS NHS FOUNDATION TRUST
RPY,THE ROYAL MARSDEN NHS FOUNDATION TRUST
RQ3,BIRMINGHAM WOMEN'S AND CHILDREN'S NHS FOUNDATION TRUST
RQM,CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST
RQW,THE PRINCESS ALEXANDRA HOSPITAL NHS TRUST
RQX,HOMERTON HEALTHCARE NHS FOUNDATION TRUST
RQY,SOUTH WEST LONDON AND ST GEORGE'S MENTAL HEALTH NHS TRUST
RR7,GATESHEAD HEALTH NHS FOUNDATION TRUST
RR8,LEEDS TEACHING HOSPITALS NHS TRUST
RRE,MIDLANDS PARTNERSHIP UNIVERSITY NHS FOUNDATION TRUST
RRF,"WRIGHTINGTON, WIGAN AND LEIGH NHS FOUNDATION TRUST"
RRJ,ROYAL ORTHOPAEDIC HOSPITAL NHS FOUNDATION TRUST
RRK,UNIVERSITY HOSPITALS BIRMINGHAM NHS FOUNDATION TRUST
RRU,LONDON AMBULANCE SERVICE NHS TRUST
RRV,UNIVERSITY COLLEGE LONDON HOSPITALS NHS FOUNDATION TRUST
RT1,CAMBRIDGESHIRE AND PETERBOROUGH NHS FOUNDATION TRUST
RT2,PENNINE CARE NHS FOUNDATION TRUST
RT5,LEICESTERSHIRE PARTNERSHIP NHS TRUST
RTD,THE NEWCASTLE UPON TYNE HOSPITALS NHS FOUNDATION TRUST
RTE,GLOUCESTERSHIRE HOSPITALS NHS FOUNDATION TRUST
RTF,NORTHUMBRIA HEALTHCARE NHS FOUNDATION TRUST
RTG,UNIVERSITY HOSPITALS OF DERBY AND BURTON NHS FOUNDATION TRUST
RTH,OXFORD UNIVERSITY HOSPITALS NHS FOUNDATION TRUST
RTK,ASHFORD AND ST. PETER'S HOSPITALS NHS FOUNDATION TRUST
RTP,SURREY AND SUSSEX HEALTHCARE NHS TRUST
RTQ,GLOUCESTERSHIRE HEALTH AND CARE NHS FOUNDATION TRUST
RTR,SOUTH TEES HOSPITALS NHS FOUNDATION TRUST
RTX,UNIVERSITY HOSPITALS OF MORECAMBE BAY NHS FOUNDATION TRUST
RV3,CENTRAL AND NORTH WEST LONDON NHS FOUNDATION TRUST
RV5,SOUTH LONDON AND MAUDSLEY NHS FOUNDATION TRUST
RV9,HUMBER TEACHING NHS FOUNDATION TRUST
RVJ,NORTH BRISTOL NHS TRUST
RVN,AVON AND WILTSHIRE MENTAL HEALTH PARTNERSHIP NHS TRUST
RVR,EPSOM AND ST HELIER UNIVERSITY HOSPITALS NHS TRUST
RVV,EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST
RVW,NORTH TEES AND HARTLEPOOL NHS FOUNDATION TRUST
RW1,HAMPSHIRE AND ISLE OF WIGHT HEALTHCARE NHS FOUNDATION TRUST
RW4,MERSEY CARE NHS FOUNDATION TRUST
RW5,LANCASHIRE & SOUTH CUMBRIA NHS FOUNDATION TRUST
RWA,HULL UNIVERSITY TEACHING HOSPITALS NHS TRUST
RWD,UNITED LINCOLNSHIRE TEACHING HOSPITALS NHS TRUST
RWE,UNIVERSITY HOSPITALS OF LEICESTER NHS TRUST
RWF,MAIDSTONE AND TUNBRIDGE WELLS NHS TRUST
RWG,WEST HERTFORDSHIRE TEACHING HOSPITALS NHS TRUST
RWH,EAST AND NORTH HERTFORDSHIRE NHS TRUST
RWJ,STOCKPORT NHS FOUNDATION TRUST
