trust_code,trust_name,ae_attendances,ae_within_4h,emergency_admissions
RFF,BARNSLEY HOSPITAL NHS FOUNDATION TRUST,9461,7618,3924
RFR,THE ROTHERHAM NHS FOUNDATION TRUST,9778,6752,2218
RFS,CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST,12851,9533,2386
RGN,NORTH WEST ANGLIA NHS FOUNDATION TRUST,21625,15608,5646
RGP,JAMES PAGET UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,9372,6694,2116
RGR,WEST SUFFOLK NHS FOUNDATION TRUST,9239,7228,2285
RGT,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,17967,12844,3475
RH5,SOMERSET NHS FOUNDATION TRUST,22545,16418,4300
RH8,ROYAL DEVON UNIVERSITY HEALTHCARE NHS FOUNDATION TRUST,19576,13786,5589
RHM,UNIVERSITY HOSPITAL SOUTHAMPTON NHS FOUNDATION TRUST,13305,9644,5516
RHQ,SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST,19423,14728,6527
RHU,PORTSMOUTH HOSPITALS UNIVERSITY NHS TRUST,18623,14265,5845
RHW,ROYAL BERKSHIRE NHS FOUNDATION TRUST,18612,14319,2630
RJ1,GUY'S AND ST THOMAS' NHS FOUNDATION TRUST,17742,13198,2372
RJ2,LEWISHAM AND GREENWICH NHS TRUST,35406,26851,4536
RJ6,CROYDON HEALTH SERVICES NHS TRUST,18627,14786,1294
RJ7,ST GEORGE'S UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,13294,10397,2421
RJ8,CORNWALL PARTNERSHIP NHS FOUNDATION TRUST,0,0,102
RJC,SOUTH WARWICKSHIRE UNIVERSITY NHS FOUNDATION TRUST,9084,7276,2478
RJE,UNIVERSITY HOSPITALS OF NORTH MIDLANDS NHS TRUST,25668,17056,6014
RJL,NORTHERN LINCOLNSHIRE AND GOOLE NHS FOUNDATION TRUST,17930,12950,6237
RJN,EAST CHESHIRE NHS TRUST,4503,2288,1016
RJR,COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST,8089,4933,3122
RJZ,KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST,26633,19212,3944
RK5,SHERWOOD FOREST HOSPITALS NHS FOUNDATION TRUST,17567,13624,4067
RK9,UNIVERSITY HOSPITALS PLYMOUTH NHS TRUST,17576,11773,5076
RKB,UNIVERSITY HOSPITALS COVENTRY AND WARWICKSHIRE NHS TRUST,22376,17081,1381
RKE,WHITTINGTON HEALTH NHS TRUST,9319,6943,1454
RL1,THE ROBERT JONES AND AGNES HUNT ORTHOPAEDIC HOSPITAL NHS FOUNDATION TRUST,0,0,29
RL4,THE ROYAL WOLVERHAMPTON NHS TRUST,21322,17001,7107
RLQ,WYE VALLEY NHS TRUST,7425,4728,1567
RLT,GEORGE ELIOT HOSPITAL NHS TRUST,9245,8409,1265
RM1,NORFOLK AND NORWICH UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,21363,17726,3831
RM3,NORTHERN CARE ALLIANCE NHS FOUNDATION TRUST,36311,26728,10772
RMC,BOLTON NHS FOUNDATION TRUST,12240,8336,3827
RMP,TAMESIDE AND GLOSSOP INTEGRATED CARE NHS FOUNDATION TRUST,11912,8204,2041
RN3,GREAT WESTERN HOSPITALS NHS FOUNDATION TRUST,12222,8419,4039
RN5,HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST,15327,9636,5091
RN7,DARTFORD AND GRAVESHAM NHS TRUST,16297,13327,4353
RNA,THE DUDLEY GROUP NHS FOUNDATION TRUST,15238,13015,6431
RNN,NORTH CUMBRIA INTEGRATED CARE NHS FOUNDATION TRUST,11172,6996,2570
RNQ,KETTERING GENERAL HOSPITAL NHS FOUNDATION TRUST,21057,16887,2309
RNS,NORTHAMPTON GENERAL HOSPITAL NHS TRUST,13882,10414,3130
RNU,OXFORD HEALTH NHS FOUNDATION TRUST,4189,4005,0
RNZ,SALISBURY NHS FOUNDATION TRUST,7533,5218,2416
RP5,DONCASTER AND BASSETLAW TEACHING HOSPITALS NHS FOUNDATION TRUST,18713,14494,5750
RP6,MOORFIELDS EYE HOSPITAL NHS FOUNDATION TRUST,6316,6158,271
RPA,MEDWAY NHS FOUNDATION TRUST,17718,13534,2229
RPC,QUEEN VICTORIA HOSPITAL NHS FOUNDATION TRUST,1372,1354,531
RQ3,BIRMINGHAM WOMEN'S AND CHILDREN'S NHS FOUNDATION TRUST,5150,3944,853
RQM,CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST,28011,22149,3387
RQW,THE PRINCESS ALEXANDRA HOSPITAL NHS TRUST,11667,9297,2230
RQX,HOMERTON HEALTHCARE NHS FOUNDATION TRUST,11459,9751,2356
RR7,GATESHEAD HEALTH NHS FOUNDATION TRUST,10723,8054,1888
RR8,LEEDS TEACHING HOSPITALS NHS TRUST,31367,24649,5114
RRF,"WRIGHTINGTON, WIGAN AND LEIGH TEACHING HOSPITALS NHS FOUNDATION TRUST",13504,10540,2899
RRK,UNIVERSITY HOSPITALS BIRMINGHAM NHS FOUNDATION TRUST,38379,24693,18396
RRV,UNIVERSITY COLLEGE LONDON HOSPITALS NHS FOUNDATION TRUST,14539,11756,1862
RTD,THE NEWCASTLE UPON TYNE HOSPITALS NHS FOUNDATION TRUST,24132,19262,7041
RTE,GLOUCESTERSHIRE HOSPITALS NHS FOUNDATION TRUST,14347,9264,5998
RTF,NORTHUMBRIA HEALTHCARE NHS FOUNDATION TRUST,25283,23044,5105
RTG,UNIVERSITY HOSPITALS OF DERBY AND BURTON NHS FOUNDATION TRUST,32146,22712,6150
RTH,OXFORD UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,19463,15612,9963
RTK,ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST,10646,7244,2984
RTP,SURREY AND SUSSEX HEALTHCARE NHS TRUST,10583,5805,3923
RTQ,GLOUCESTERSHIRE HEALTH AND CARE NHS FOUNDATION TRUST,8390,8167,34
RTR,SOUTH TEES HOSPITALS NHS FOUNDATION TRUST,19913,15939,5530
RTX,UNIVERSITY HOSPITALS OF MORECAMBE BAY NHS FOUNDATION TRUST,13552,9529,3996
RV9,HUMBER TEACHING NHS FOUNDATION TRUST,1284,1279,0
RVJ,NORTH BRISTOL NHS TRUST,9545,6159,5673
RVR,EPSOM AND ST HELIER UNIVERSITY HOSPITALS NHS TRUST,14046,10547,2291
RVV,EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST,28333,21058,4223
RVW,NORTH TEES AND HARTLEPOOL NHS FOUNDATION TRUST,17130,14765,4773
RW1,HAMPSHIRE AND ISLE OF WIGHT HEALTHCARE NHS FOUNDATION TRUST,3154,3132,142
RW4,MERSEY CARE NHS FOUNDATION TRUST,14145,13650,35
RWA,HULL UNIVERSITY TEACHING HOSPITALS NHS TRUST,14511,9290,6157
RWD,UNITED LINCOLNSHIRE TEACHING HOSPITALS NHS TRUST,23535,17550,6152
RWE,UNIVERSITY HOSPITALS OF LEICESTER NHS TRUST,25557,16975,11166
RWF,MAIDSTONE AND TUNBRIDGE WELLS NHS TRUST,23091,18533,3109
RWG,WEST HERTFORDSHIRE TEACHING HOSPITALS NHS TRUST,17531,15841,5632
RWH,EAST AND NORTH HERTFORDSHIRE TEACHING NHS TRUST,18276,13657,2681
RWJ,STOCKPORT NHS FOUNDATION TRUST,10912,7654,3663
RWP,WORCESTERSHIRE ACUTE HOSPITALS NHS TRUST,20497,14645,4148
RWW,WARRINGTON AND HALTON TEACHING HOSPITALS NHS FOUNDATION TRUST,10384,6849,1970
RWX,BERKSHIRE HEALTHCARE NHS FOUNDATION TRUST,1461,1447,31
RWY,CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST,16023,14066,3231
RX1,NOTTINGHAM UNIVERSITY HOSPITALS NHS TRUST,25406,16714,9139
RXC,EAST SUSSEX HEALTHCARE NHS TRUST,15528,11987,3475
RXF,MID YORKSHIRE TEACHING NHS TRUST,23830,17711,4526
RXG,SOUTH WEST YORKSHIRE PARTNERSHIP NHS FOUNDATION TRUST,0,0,138
RXK,SANDWELL AND WEST BIRMINGHAM HOSPITALS NHS TRUST,21517,16194,2688
RXL,BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST,19383,16037,4229
RXN,LANCASHIRE TEACHING HOSPITALS NHS FOUNDATION TRUST,15630,11282,4383
RXP,COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST,24568,19438,5381
RXQ,BUCKINGHAMSHIRE HEALTHCARE NHS TRUST,13894,10874,5645
RXR,EAST LANCASHIRE HOSPITALS NHS TRUST,25345,20613,6109
RXW,THE SHREWSBURY AND TELFORD HOSPITAL NHS TRUST,14083,7432,6096
RY2,BRIDGEWATER COMMUNITY HEALTHCARE NHS FOUNDATION TRUST,3487,3422,0
RY4,HERTFORDSHIRE COMMUNITY NHS TRUST,1223,1185,0
RY5,LINCOLNSHIRE COMMUNITY HEALTH SERVICES NHS TRUST,8730,8574,0
RY7,WIRRAL COMMUNITY HEALTH AND CARE NHS FOUNDATION TRUST,3798,3644,0
RY8,DERBYSHIRE COMMUNITY HEALTH SERVICES NHS FOUNDATION TRUST,9044,8524,0
RYF,SOUTH WESTERN AMBULANCE SERVICE NHS FOUNDATION TRUST,2191,2152,0
RYG,COVENTRY AND WARWICKSHIRE PARTNERSHIP NHS TRUST,0,0,44
RYJ,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,23795,19060,4968
RYR,UNIVERSITY HOSPITALS SUSSEX NHS FOUNDATION TRUST,33587,21673,10761
RYX,CENTRAL LONDON COMMUNITY HEALTHCARE NHS TRUST,13234,13020,0
RYY,KENT COMMUNITY HEALTH NHS FOUNDATION TRUST,7132,7070,0
