trust_code,trust_name,provider_type_source,rvpi_rank,rvpi_z,rvpi_percentile,cluster,components_available
RJN,EAST CHESHIRE NHS TRUST,ACUTE - SMALL,45,0.12163019883820896,61.40350877192983,3,6
RQW,THE PRINCESS ALEXANDRA HOSPITAL NHS TRUST,ACUTE - SMALL,46,0.11397834008659617,60.526315789473685,4,6
RN5,HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST,ACUTE - LARGE,47,0.09829143788702431,59.64912280701754,3,6
RK5,SHERWOOD FOREST HOSPITALS NHS FOUNDATION TRUST,ACUTE - MEDIUM,48,0.0697346846095325,58.77192982456141,,5
RBK,WALSALL HEALTHCARE NHS TRUST,ACUTE - SMALL,49,0.06971370147439813,57.89473684210527,4,6
RX1,NOTTINGHAM UNIVERSITY HOSPITALS NHS TRUST,ACUTE - TEACHING,50,0.0639696508013949,57.01754385964912,3,6
RXL,BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST,ACUTE - TEACHING,51,0.061284689288838075,56.14035087719298,4,6
RBN,MERSEY AND WEST LANCASHIRE TEACHING HOSPITALS NHS TRUST,ACUTE - TEACHING,52,0.059850037034524815,55.26315789473685,4,6
RA7,UNIVERSITY HOSPITALS BRISTOL AND WESTON NHS FOUNDATION TRUST,ACUTE - TEACHING,53,0.057850978925430875,54.385964912280706,3,6
RWP,WORCESTERSHIRE ACUTE HOSPITALS NHS TRUST,ACUTE - LARGE,54,0.044563399670657276,53.50877192982456,3,6
RWJ,STOCKPORT NHS FOUNDATION TRUST,ACUTE - MEDIUM,55,0.04308358648512115,52.63157894736842,3,6
RH8,ROYAL DEVON UNIVERSITY HEALTHCARE NHS FOUNDATION TRUST,ACUTE - LARGE,56,0.03327047284285126,51.75438596491229,3,6
R1F,ISLE OF WIGHT NHS TRUST,ACUTE - MULTI-SERVICE,57,0.019005916775577465,50.877192982456144,4,6
REM,LIVERPOOL UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,ACUTE - TEACHING,58,0.009344319794303021,50.0,3,6
RBL,WIRRAL UNIVERSITY TEACHING HOSPITAL NHS FOUNDATION TRUST,ACUTE - TEACHING,59,0.002879421110555428,49.122807017543856,3,6
RDE,EAST SUFFOLK AND NORTH ESSEX NHS FOUNDATION TRUST,ACUTE - LARGE,60,-0.00010970616205078591,48.24561403508772,3,6
R0D,UNIVERSITY HOSPITALS DORSET NHS FOUNDATION TRUST,ACUTE - TEACHING,61,-0.014861854478578906,47.368421052631575,3,6
RXP,COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST,ACUTE - MULTI-SERVICE,62,-0.01900997121652496,46.49122807017544,4,6
RTG,UNIVERSITY HOSPITALS OF DERBY AND BURTON NHS FOUNDATION TRUST,ACUTE - TEACHING,63,-0.02834794591567888,45.614035087719294,3,6
REF,ROYAL CORNWALL HOSPITALS NHS TRUST,ACUTE - LARGE,64,-0.03699186548379502,44.73684210526316,1,6
RXR,EAST LANCASHIRE HOSPITALS NHS TRUST,ACUTE - LARGE,65,-0.039073016912233104,43.859649122807014,4,6
RPA,MEDWAY NHS FOUNDATION TRUST,ACUTE - MEDIUM,66,-0.05273624492592177,42.98245614035088,2,6
RRF,"WRIGHTINGTON, WIGAN AND LEIGH NHS FOUNDATION TRUST",ACUTE - MEDIUM,67,-0.05607244496159961,42.10526315789473,2,6
RGR,WEST SUFFOLK NHS FOUNDATION TRUST,ACUTE - SMALL,68,-0.060262608898927206,41.228070175438596,2,6
RDU,FRIMLEY HEALTH NHS FOUNDATION TRUST,ACUTE - LARGE,69,-0.10052579973367337,40.35087719298245,2,6
RAE,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,ACUTE - TEACHING,70,-0.1122657538196144,39.473684210526315,4,6
RGN,NORTH WEST ANGLIA NHS FOUNDATION TRUST,ACUTE - LARGE,71,-0.124758262553415,38.59649122807017,2,6
RXC,EAST SUSSEX HEALTHCARE NHS TRUST,ACUTE - LARGE,72,-0.13294920548285685,37.719298245614034,2,6
RHW,ROYAL BERKSHIRE NHS FOUNDATION TRUST,ACUTE - LARGE,73,-0.13442269448169364,36.84210526315789,1,6
RJE,UNIVERSITY HOSPITALS OF NORTH MIDLANDS NHS TRUST,ACUTE - TEACHING,74,-0.13704835273968025,35.96491228070175,3,6
RTE,GLOUCESTERSHIRE HOSPITALS NHS FOUNDATION TRUST,ACUTE - LARGE,75,-0.14063477209465616,35.08771929824561,3,6
RNZ,SALISBURY NHS FOUNDATION TRUST,ACUTE - SMALL,76,-0.1955094763690111,34.21052631578947,3,6
