,bed_occupancy_pressure,ae_delay_burden,emergency_admissions_intensity,waiting_list_burden,estates_burden,resource_capacity_strain,rvpi_z
bed_occupancy_pressure,1.0,0.07936668255609394,0.05822493026549214,0.02812143854798119,-0.02620983411945383,0.09913308917585448,0.5261942954544845
ae_delay_burden,0.07936668255609394,1.0,-0.05650989751614519,0.25796243632108196,-0.07429000391091833,-0.5283820119956684,0.2874379672760822
emergency_admissions_intensity,0.05822493026549214,-0.05650989751614519,1.0,-0.03614356166888632,-0.01798551062325424,0.23534776924117384,0.5030847983869791
waiting_list_burden,0.02812143854798119,0.25796243632108196,-0.03614356166888632,1.0,-0.17356022772009708,-0.19907269706225547,0.37587522082222347
estates_burden,-0.02620983411945383,-0.07429000391091833,-0.01798551062325424,-0.17356022772009708,1.0,0.12286091784356704,0.3514138031614683
resource_capacity_strain,0.09913308917585448,-0.5283820119956684,0.23534776924117384,-0.19907269706225547,0.12286091784356704,1.0,0.3140676600626308
rvpi_z,0.5261942954544845,0.2874379672760822,0.5030847983869791,0.37587522082222347,0.3514138031614683,0.3140676600626308,1.0
