trust_code,trust_name,primary_rvpi_rank,primary_rvpi_z,primary_rvpi_percentile,primary_cluster,full_rvpi_rank,full_rvpi_z,full_rvpi_percentile,full_cluster,rank_change_primary_minus_full,absolute_rank_change,percentile_change_primary_minus_full,ordered_cluster_label_agrees
RMC,BOLTON NHS FOUNDATION TRUST,33,0.2431187303661951,71.9298245614035,2,12,0.4945516401140467,91.53846153846153,1,21,21,-19.608636977058026,False
RXN,LANCASHIRE TEACHING HOSPITALS NHS FOUNDATION TRUST,34,0.2353865059296488,71.05263157894737,3,42,0.25792617931539913,68.46153846153847,1,-8,8,2.591093117408903,False
RAL,ROYAL FREE LONDON NHS FOUNDATION TRUST,35,0.23122050629187738,70.17543859649122,4,58,0.14775242152296578,56.15384615384615,1,-23,23,14.021592442645066,False
RRK,UNIVERSITY HOSPITALS BIRMINGHAM NHS FOUNDATION TRUST,36,0.18509418367140507,69.2982456140351,3,19,0.4492302932270246,86.15384615384616,1,17,17,-16.855600539811064,False
RJ2,THE LEWISHAM AND GREENWICH NHS TRUST,37,0.18092747651448593,68.42105263157895,4,77,0.07890698063756137,41.53846153846154,1,-40,40,26.882591093117405,False
RQM,CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST,38,0.17426693055810427,67.54385964912281,4,91,-0.0057900514162553636,30.76923076923077,1,-53,53,36.774628879892035,False
RWA,HULL UNIVERSITY TEACHING HOSPITALS NHS TRUST,39,0.16390861305371915,66.66666666666666,3,28,0.3682419754039737,79.23076923076923,1,11,11,-12.56410256410257,False
RA2,ROYAL SURREY COUNTY HOSPITAL NHS FOUNDATION TRUST,40,0.1528155546811328,65.78947368421053,4,44,0.25586097293190374,66.92307692307692,1,-4,4,-1.1336032388663853,False
RLQ,WYE VALLEY NHS TRUST,41,0.15243348648529156,64.91228070175438,3,54,0.17104766080382125,59.23076923076923,1,-13,13,5.68151147098515,False
RN7,DARTFORD AND GRAVESHAM NHS TRUST,42,0.15128274055784077,64.03508771929825,4,80,0.07160719259315192,39.23076923076923,1,-38,38,24.804318488529013,False
RTH,OXFORD UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,43,0.14262267669225176,63.1578947368421,4,31,0.3498476122970087,76.92307692307693,1,12,12,-13.765182186234831,False
RJL,NORTHERN LINCOLNSHIRE AND GOOLE NHS FOUNDATION TRUST,44,0.13845234044674015,62.28070175438597,2,41,0.2609319693507845,69.23076923076923,1,3,3,-6.9500674763832535,False
RJN,EAST CHESHIRE NHS TRUST,45,0.12163019883820896,61.40350877192983,3,32,0.3427762311163665,76.15384615384615,1,13,13,-14.750337381916317,False
RQW,THE PRINCESS ALEXANDRA HOSPITAL NHS TRUST,46,0.11397834008659617,60.526315789473685,4,47,0.22242910014066583,64.61538461538461,1,-1,1,-4.089068825910928,False
RN5,HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST,47,0.09829143788702431,59.64912280701754,3,29,0.3623198631233601,78.46153846153847,1,18,18,-18.812415654520926,False
RK5,SHERWOOD FOREST HOSPITALS NHS FOUNDATION TRUST,48,0.0697346846095325,58.77192982456141,,55,0.16430488536475465,58.46153846153847,,-7,7,0.31039136302294423,False
RBK,WALSALL HEALTHCARE NHS TRUST,49,0.06971370147439813,57.89473684210527,4,70,0.11005110250114573,46.92307692307692,1,-21,21,10.971659919028347,False
RX1,NOTTINGHAM UNIVERSITY HOSPITALS NHS TRUST,50,0.0639696508013949,57.01754385964912,3,20,0.43312569420344293,85.38461538461539,1,30,30,-28.367071524966263,False
RXL,BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST,51,0.061284689288838075,56.14035087719298,4,83,0.04622840488381242,36.92307692307693,1,-32,32,19.217273954116052,False
RBN,MERSEY AND WEST LANCASHIRE TEACHING HOSPITALS NHS TRUST,52,0.059850037034524815,55.26315789473685,4,62,0.13648811078241174,53.07692307692308,1,-10,10,2.1862348178137694,False
RA7,UNIVERSITY HOSPITALS BRISTOL AND WESTON NHS FOUNDATION TRUST,53,0.057850978925430875,54.385964912280706,3,40,0.2634202587520311,70.0,1,13,13,-15.614035087719294,False
RWP,WORCESTERSHIRE ACUTE HOSPITALS NHS TRUST,54,0.044563399670657276,53.50877192982456,3,53,0.1731848582760508,60.0,1,1,1,-6.491228070175438,False
RWJ,STOCKPORT NHS FOUNDATION TRUST,55,0.04308358648512115,52.63157894736842,3,39,0.26730036528068124,70.76923076923077,1,16,16,-18.137651821862356,False
RH8,ROYAL DEVON UNIVERSITY HEALTHCARE NHS FOUNDATION TRUST,56,0.03327047284285126,51.75438596491229,3,45,0.24886730012844507,66.15384615384615,1,11,11,-14.399460188933858,False
R1F,ISLE OF WIGHT NHS TRUST,57,0.019005916775577465,50.877192982456144,4,61,0.14256015677445963,53.84615384615385,1,-4,4,-2.9689608636977027,False
REM,LIVERPOOL UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,58,0.009344319794303021,50.0,3,56,0.15419773906393341,57.692307692307686,1,2,2,-7.692307692307686,False
RBL,WIRRAL UNIVERSITY TEACHING HOSPITAL NHS FOUNDATION TRUST,59,0.002879421110555428,49.122807017543856,3,37,0.2873225837184665,72.3076923076923,1,22,22,-23.18488529014845,False
RDE,EAST SUFFOLK AND NORTH ESSEX NHS FOUNDATION TRUST,60,-0.00010970616205078591,48.24561403508772,3,59,0.1460130834998485,55.38461538461539,1,1,1,-7.139001349527668,False
